product,rating,rating count,price,product url
Toddler Girls' Switchback II Jacket  ,4.6 out of 5 stars,240  ,24.99,https://amazon.com/Columbia-Girls-Toddler-Switchback-Jacket/dp/B07L53DBTK/ref=sr_1_55?keywords=jacket&qid=1682035541&sr=8-55
Women's Ex-Boyfriend Trucker Jacket  ,4.5 out of 5 stars,"2,278  ",54.99,https://amazon.com/Levis-Womens-Ex-Boyfriend-Trucker-Jacket/dp/B08NV17X18/ref=sr_1_56?keywords=jacket&qid=1682035541&sr=8-56
Women's Faux Leather Motocross Racer Jacket (Standard and Plus)  ,4.5 out of 5 stars,"2,398  ",70.0,https://amazon.com/Levis-Womens-Leather-Fashion-Quilted/dp/B01NALQWKV/ref=sr_1_57?keywords=jacket&qid=1682035541&sr=8-57
Girls and Toddlers' Lightweight Water-Resistant Packable Hooded Puffer Jacket  ,4.6 out of 5 stars,"7,435  ",43.0,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07Q8NMX9Y/ref=sr_1_58?keywords=jacket&qid=1682035541&sr=8-58
Womens Casual Blazers Open Front Long Sleeve Work Office Jackets Blazer  ,3.9 out of 5 stars,"24,405  ",57.99,https://amazon.com/Cicy-Bell-Womens-Jackets-Outerwear/dp/B07WD8YZ2Q/ref=sr_1_59?keywords=jacket&qid=1682035541&sr=8-59
Men's Essentials Warm-Up 3-Stripes Track Top  ,4.7 out of 5 stars,"5,808  ",39.17,https://amazon.com/adidas-Warm-up-Tricot-Regular-3-stripes/dp/B08M6H3LPG/ref=sr_1_60?keywords=jacket&qid=1682035541&sr=8-60
Men's Lightweight Casual Bomber  Jacket  Windproof Running Spring Windbreaker Sportswear Outerwear  ,4.7 out of 5 stars,4  ,37.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A06494376A3YCXXU2N2N&qualifier=1682035544&id=5437074494723427&widgetName=sp_atf_next&url=%2FTACVASEN-Bomber-Jackets-Breakers-Lightweight%2Fdp%2FB0BPSGHN3P%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Djacket%26qid%3D1682035544%26sr%3D8-49-spons%26psc%3D1%26smid%3DA316SIRIW8TU6I
Men's Slim Fit Lightweight Softshell Flight Bomber  Jacket  Spring Fall Coat with Pockets  ,4.4 out of 5 stars,"1,094  ",35.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08385181TR5SC04PKNWJ&qualifier=1682035544&id=5437074494723427&widgetName=sp_atf_next&url=%2FMilitary-Athletic-Fashion-Lightweight-Pockets%2Fdp%2FB095W5NBX5%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Djacket%26qid%3D1682035544%26sr%3D8-50-spons%26psc%3D1
Men's Winter  Jacket  Casual Warm Cotton Work Military  Jacket  Fleece Lined Cargo Hooded Parka Coat  ,3.8 out of 5 stars,13  ,60.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0826838130GJRWLKVOJ2&qualifier=1682035544&id=5437074494723427&widgetName=sp_atf_next&url=%2FCARWORNIC-Military-Thicken-Windproof-Removable%2Fdp%2FB0BJ9C3K4T%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Djacket%26qid%3D1682035544%26sr%3D8-51-spons%26psc%3D1
Men's Cotton Military  Jacket  Cargo Bomber  Jacket  With Multi-pockets Working Coat  ,4.4 out of 5 stars,500  ,48.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09306852SB0F3SIRKS71&qualifier=1682035544&id=5437074494723427&widgetName=sp_atf_next&url=%2FCotton-Military-Jacket-Multi-pockets-Working%2Fdp%2FB094G446CB%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Djacket%26qid%3D1682035544%26sr%3D8-52-spons%26psc%3D1
Women's Melanie Bomber  Jacket  (Standard & Plus Sizes)  ,4.5 out of 5 stars,"1,171  ",44.6,https://amazon.com/Levis-Womens-Bomber-Contrast-Pockets/dp/B01NALQUDG/ref=sr_1_53?keywords=jacket&qid=1682035544&sr=8-53
Men's Loose Fit Firm Duck Insulated Flannel-Lined Active  Jacket  ,4.7 out of 5 stars,"20,433  ",109.99,https://amazon.com/Carhartt-Quilted-Flannel-Active-Jacket/dp/B000CCOIHC/ref=sr_1_54?keywords=jacket&qid=1682035544&sr=8-54
Men's Hooded Down  Jacket  Quilted Coat Sherpa Lined  ,4.6 out of 5 stars,781  ,62.86,https://amazon.com/Calvin-Klein-Lightweight-Packable-Removable/dp/B08ZNZ9NFT/ref=sr_1_55?keywords=jacket&qid=1682035544&sr=8-55
